user log|-|2017-05-08 19:19:09
user log|-|2017-05-08 19:19:11
user log|-|2017-05-08 19:19:17
user log|-|2017-05-08 19:20:26
user log|-|2017-05-08 19:20:38
user log|-|2017-05-08 19:20:57
user log|-|2017-05-08 19:21:44
<span class="command-line" contenteditable="false">command line：&gt;</span>user log 123&nbsp;|-|2017-05-08 19:22:45
user log 123|-|2017-05-08 19:22:49
user log 123|-|2017-05-08 19:23:02
user log|-|2017-05-08 19:23:16
user log|-|2017-05-08 19:23:38
user login|name admin admin|-|2017-05-10 11:23:36
conf -l|-|2017-05-10 11:23:39
conf upd DB_NAME test|-|2017-05-10 11:23:52
conf upd DB_USER root|-|2017-05-10 11:23:58
conf upd DB_PWD root|-|2017-05-10 11:24:06
conf -l|-|2017-05-10 11:24:11
|-|2017-05-10 11:40:43
user exit|-|2017-05-10 11:40:47
user login|name admin admin|-|2017-05-10 11:40:59
|-|2017-05-10 13:51:01
user exit|-|2017-05-10 13:51:05
user login|name admin admin|-|2017-05-10 13:51:09
php -m|-|2017-05-10 13:56:36
php -l|-|2017-05-10 13:56:43
|-|2017-05-10 15:41:41
my -b|-|2017-05-10 15:41:44
my -b|-|2017-05-10 15:41:44
my -b|-|2017-05-10 15:41:45
my -b|-|2017-05-10 15:41:45
my -b|-|2017-05-10 15:41:45
my -b|-|2017-05-10 15:41:45
my -b|-|2017-05-10 15:41:45
my -b|-|2017-05-10 15:41:46
my -b|-|2017-05-10 15:41:51
my -b|-|2017-05-10 15:41:51
my -b|-|2017-05-10 15:41:56
my -b|-|2017-05-10 15:42:18
|-|2017-05-10 15:42:18
|-|2017-05-10 15:42:18
my -b|-|2017-05-10 15:42:24
my -b|-|2017-05-10 15:42:31
my -b|-|2017-05-10 15:42:37
my -b|-|2017-05-10 15:42:56
my -b|-|2017-05-10 15:43:02
my -b|-|2017-05-10 15:43:11
my -b|-|2017-05-10 15:43:13
my -b|-|2017-05-10 15:43:37
my -b|-|2017-05-10 15:43:44
my -b|-|2017-05-10 15:43:56
my -b&nbsp;|-|2017-05-10 15:44:13
my -b 123|-|2017-05-10 15:44:18
my -b|-|2017-05-10 15:45:54
my -b|-|2017-05-10 15:46:03
my -b|-|2017-05-10 15:46:17
my -b|-|2017-05-10 15:46:25
my -b|-|2017-05-10 15:47:16
conf -l|-|2017-05-10 15:47:45
my -b|-|2017-05-10 15:48:18
my -b|-|2017-05-10 15:48:27
my -g|-|2017-05-10 15:48:44
my -b|-|2017-05-10 15:48:49
my -b|-|2017-05-10 15:49:39
my -b|-|2017-05-10 15:49:43
my -b|-|2017-05-10 15:49:59
my -b|-|2017-05-10 15:50:18
my -b|-|2017-05-10 15:51:05
my -b|-|2017-05-10 15:51:21
my -b|-|2017-05-10 15:51:38
my -b|-|2017-05-10 15:51:50
my -x select * from test|-|2017-05-10 15:52:13
my -b|-|2017-05-10 15:55:05
my -b|-|2017-05-10 15:55:34
my -b|-|2017-05-10 15:56:07
my -b|-|2017-05-10 15:56:09
my -b|-|2017-05-10 15:56:10
my -b|-|2017-05-10 15:56:10
my -b|-|2017-05-10 15:56:10
my -b|-|2017-05-10 15:56:11
my -b|-|2017-05-10 15:56:11
my -b|-|2017-05-10 15:56:27
my -b|-|2017-05-10 15:56:44
my -b|-|2017-05-10 15:56:50
